,项目类别,项目名称
127,其他费,术前12小时禁饮食
128,其他费,流食
129,其他费,肝肾功
130,其他费,输血前四项
131,其他费,心电图 胸腹平片 腹部B超
132,西药费,氯化钠注射液&lt;100ml&gt;
133,其他费,按肝胆泌尿外科常规护理
134,其他费,血尿常规 血型 凝血系列
135,其他费,术前常规备皮
136,其他费,头孢噻肟皮试
137,西药费,注射用头孢噻肟钠&lt;1.0g&gt;
138,其他费,留陪人
139,其他费,禁饮食
140,其他费,常规留置导尿
141,西药费,果糖注射液&lt;250ml&gt;
142,其他费,定于明日8：00在全麻下LA术
143,其他费,按全麻下LA术后常规护理
144,其他费,吸氧
145,西药费,盐酸溴已新葡萄糖注射液&lt;100ml&gt;
149,西药费,氯化钾&lt;10ml*5&gt;
150,其他费,病检
151,西药费,10%葡萄糖注射液&lt;500ml&gt;
152,西药费,奥硝唑氯化钠注射液&lt;100ml:0.25g&gt;
154,西药费,维生素B6注射液&lt;1ml:50mg*10支&gt;
155,西药费,5%葡萄糖注射液&lt;500ml&gt;
156,其他费,心电监护
157,其他费,留置导尿
158,其他费,血管夹3个
160,西药费,维生素C注射液&lt;1.0g*5&gt;
164,其他费,换药
166,西药费,复合磷酸氢钾注射液&lt;2ml&gt;
374,西药费,头孢克肟分散片&lt;100mg*12s&gt;
381,其他费,拆线出院
584,西药费,氯化钾注射液
585,西药费,氯化钠注射液
587,西药费,5%葡萄糖注射液500ml
589,西药费,注射用头孢唑肟钠
593,西药费,脂溶性维生素(II)
606,西药费,维生素C注射液
621,西药费,维生素B6注射液
622,西药费,注射用果糖
653,西药费,注射用头孢西丁钠
783,西药费,10%葡萄糖注射液500ml注射液
787,西药费,注射用青霉素钠
788,西药费,5%葡萄糖注射液250ml
800,西药费,注射用头孢美唑钠
801,西药费,注射用奥美拉唑钠
838,西药费,转化糖
840,西药费,利巴韦林注射液
877,西药费,复方氯化钠注射液
944,西药费,5%葡萄糖注射液（袋）&lt;250ml&gt;
946,西药费,注射用奥硝唑&lt;0.25g&gt;
947,西药费,氯化钾注射液&lt;1g/10ml*5&gt;
948,西药费,5%葡萄糖注射液&lt;100ml袋）&gt;
951,西药费,10%葡萄糖注射液&lt;500ml《袋》&gt;
952,西药费,多烯磷脂胆碱注射液&lt;232.5mg:5ml&gt;
953,西药费,乳酸左氧氟沙星氯化钠注射液&lt;100ml:0.2g&gt;
954,检查费,X线体层摄影
955,检查费,床旁心电图检查
956,化验费,凝血机能
957,化验费,电解质测定
958,西药费,注射用氨苄青霉素钠&lt;0.5g&gt;
959,其他费,术前12小时禁食，4小时禁饮
960,其他费,术前下尿管
961,化验费,肾功化验
962,化验费,乙肝系列
964,其他费,术后医嘱
965,其他费,监测血氧饱和度
966,其他费,留置尿管
968,西药费,维生素C注射液&lt;1g:5ml*5&gt;
972,西药费,5%葡萄糖注射液&lt;500ml（袋）&gt;
973,化验费,葡萄糖测定
974,其他费,II级护理
977,其他费,拟定于明日09：00在手术室硬膜外麻醉下行阑尾切除术
985,西药费,乳酸钠林格注射液&lt;500ml&gt;
987,西药费,18-氨基酸&lt;16.12g:500ml&gt;
988,其他费,大换药
990,西药费,0.9%氯化钠注射液&lt;100ml（袋）&gt;
991,其他费,清质流食
992,其他费,I级护理
994,西药费,维生素B6注射液&lt;2ml:100mg*10&gt;
1000,西药费,泮托拉唑注射液&lt;40mg&gt;
1002,检查费,胸部正位DR
1003,化验费,血常规检验
1004,化验费,肝功化验
1005,化验费,粪常规检验
1006,西药费,盐酸氨溴索注射液&lt;15mg&gt;
1014,西药费,丹红注射液&lt;10ml&gt;
1019,其他费,测BP            Q8h
1022,其他费,腹部B超               已做
1023,其他费,血常规                已做
1024,化验费,传染病系列1检查
1025,其他费,按硬膜外麻醉下阑尾切除术后常规护理
1028,化验费,心肌酶谱
1029,其他费,术区备皮（术前30分钟）
1030,其他费,去枕平卧位
1034,其他费,半流食
1037,其他费,测BP             Q8h
1038,其他费,按外科常规护理
1043,西药费,注射用七叶皂苷钠&lt;10mg&gt;
1048,化验费,尿常规检验
1058,化验费,卡式血型鉴定
1059,其他费,送手术通知单
1065,其他费,复查血常规
1067,西药费,0.9%氯化钠注射液&lt;100ml&gt;
1068,西药费,注射用盐酸氨溴索&lt;30mg&gt;
1069,西药费,利巴韦林含片&lt;20mg*24s&gt;
1070,西药费,10%氯化钾注射液&lt;10ml:1g*5&gt;
1072,西药费,氨甲苯酸注射液&lt;10ml:0.1g*5&gt;
1073,西药费,乳酸纳林格&lt;500ml&gt;
1074,其他费,一次性腹带&lt;1包*10个&gt;
1075,其他费,一次性输血器&lt;1*25&gt;
1076,西药费,2%甲硝唑氯化钠注射液&lt;250ml:1.25g&gt;
1077,其他费,Ⅱ级护理
1078,西药费,5%葡萄糖注射液&lt;250ml&gt;
1079,其他费,标本送病检
1081,其他费,电解质
1082,其他费,血脂
1083,其他费,心电图
1084,其他费,D2聚体
1086,其他费,拟定于明日10时在全麻下行腹腔镜阑尾切除术
1087,西药费,0.9%氯化钠注射液&lt;500ml&gt;
1088,其他费,Ⅰ级护理
1089,西药费,丹参川芎嗪注射液&lt;5ml&gt;
1092,其他费,一次性雾化杯&lt;个&gt;
1094,其他费,特级护理
1095,其他费,动态血压监测
1096,其他费,生物铗&lt;个&gt;
1097,其他费,结扎夹&lt;个&gt;
1101,其他费,术前禁饮食
1108,西药费,西米替丁注射液&lt;0.2g*10&gt;
1111,其他费,按在硬脊联合麻醉下行阑尾切除术后常规护理
1112,西药费,转化糖电解质注射液&lt;250ml&gt;
1117,其他费,请外科会诊
1118,其他费,凝血系列、输血前四项
1120,其他费,备皮
1121,其他费,一次性吸氧管&lt;1包*50个&gt;
1123,西药费,庆大霉素注射液&lt;8万单位*10&gt;
1124,西药费,盐酸甲氧氯普胺注射液&lt;1ml：10mg：10支&gt;
1125,西药费,5%葡萄糖氯化钠注射液&lt;500ml&gt;
1126,西药费,维生素c注射液&lt;5ml*1g*5支&gt;
1127,西药费,酚磺乙胺注射液&lt;0.5g*10&gt;
1128,其他费,明日查血HCG
1131,其他费,拟急诊在硬外麻醉下行阑尾切除术
1137,西药费,注射用青霉素钠&lt;80万单位&gt;
1140,其他费,敷料贴&lt;片&gt;
1147,西药费,维生素B6注射液&lt;50mg*10&gt;
1148,西药费,注射用辅酶A&lt;100单位*10&gt;
1149,西药费,注射用环磷腺苷&lt;20mg&gt;
1150,其他费,按全麻下腹腔镜阑尾切除术后常规护理
1154,西药费,注射用奥美拉唑&lt;40mg&gt;
1158,西药费,铝碳酸镁片&lt;0.5g*36s&gt;
1160,其他费,心电监测
1164,其他费,磁热理疗（伤口）         2次/日
1165,其他费,腹部平片
1168,西药费,注射用头孢曲松钠&lt;1g&gt;
1169,西药费,呋塞米注射液&lt;20mg*10&gt;
1175,其他费,胸片、腹平片
1180,其他费,血、尿淀粉酶
1181,其他费,心电图检查
1182,西药费,硫酸阿托品注射液&lt;0.5mg*10&gt;
1183,西药费,盐酸奈福泮注射液&lt;20mg*10支&gt;
1187,西药费,奥硝唑氯化钠注射液&lt;100ml&gt;
1188,其他费,肾功
1189,其他费,腹部彩超
1190,西药费,地塞米松磷酸钠注射液&lt;1ml:5mg*10&gt;
1191,西药费,0.9%氯化钠注射液&lt;250ml&gt;
1195,其他费,按内科常护理
1197,其他费,尿常规
1198,其他费,粪常规
1199,其他费,传染病四项
1200,其他费,胸部X片
1205,其他费,预约胃镜
1208,其他费,肝功、肾功、电解质、血糖
1211,其他费,心肌酶谱
1212,其他费,血淀粉酶
1213,其他费,尿淀粉酶
1214,西药费,胶体果胶铋胶囊&lt;50mg*12粒*2板&gt;
1218,西药费,注射用糜蛋白酶&lt;4000单位*2&gt;
1219,其他费,持续吸氧
1230,其他费,BNP
1232,西药费,开塞露&lt;20ml&gt;
1233,其他费,一次性备皮包&lt;个&gt;
1235,其他费,血常规、尿常规检查
1236,其他费,泌尿系彩超
1240,西药费,注射用脂溶性维生素（Ⅱ）&lt;11.195mg&gt;
1242,其他费,头孢唑啉钠（0.5g）皮试
1248,其他费,术区备皮
1249,其他费,大换药                1次/日
1254,西药费,注射用阿莫西林钠克拉维酸钾&lt;0.6g&gt;
1255,西药费,复方氨基酸注射液（18AA）&lt;250ml&gt;
1257,西药费,5%葡萄糖注射液&lt;100ml&gt;
1259,其他费,头孢唑啉钠0.5g   皮试
1261,其他费,指脉氧监测
1285,化验费,电解质(酶法)
1286,西药费,小儿复方氨基酸注射液(18AA-II)
1287,西药费,10%葡萄糖注射液(500ml)
1288,西药费,5%葡萄糖注射液（500ml）
1289,西药费,0.9%氯化钠注射液(外用)
1291,西药费,注射用头孢硫脒
1292,西药费,0.9%氯化钠注射液(100ml)
1293,西药费,10%氯化钾注射液
1295,西药费,0.9%氯化钠注射液
1296,其他费,查甲功
1298,化验费,血细胞分析+五分类
1299,化验费,红细胞定型+Rh定型
1300,西药费,转化糖注射液
1304,化验费,尿液组合分析
1305,化验费,大肝功
1308,西药费,丙泊酚注射液
1309,西药费,苯磺顺阿曲库铵注射液
1310,西药费,小儿电解质补给注射液
1313,其他费,磁热疗法（脐周）2次/日
1316,化验费,粪常规
1317,化验费,凝血四项
1324,其他费,血糖
1327,其他费,血常规
1328,其他费,肝功
1331,西药费,葡萄糖氯化钠注射液(500ml)
1332,西药费,七氟烷
1333,其他费,空气负离子消毒
1336,西药费,开塞露
1348,西药费,注射用奥美拉唑
1351,西药费,0.9%氯化钠注射(500ml)
1361,其他费,胸片
1368,化验费,肾功能
1369,化验费,血传四项
1375,西药费,盐酸消旋山莨菪碱注射液&lt;1ml:10mg*10支&gt;
1376,西药费,甲硝唑注射液(塑瓶)
1380,其他费,清淡饮食
1381,其他费,书面家属知情同意书
1383,西药费,注射用头孢唑林钠&lt;0.5g&gt;
1392,西药费,注射用水(500ml)
1395,西药费,盐酸纳美芬注射液
1398,其他费,转外科
1399,其他费,重整医嘱
1401,其他费,吸氧面罩&lt;个&gt;
1464,西药费,注射用哌拉西林舒巴坦钠
1583,西药费,乳酸钠林格注射液
1707,西药费,创可贴&lt;1&gt;
1710,其他费,小换药3次
1713,其他费,大换药             1次/日
1719,西药费,注射用头孢硫脒&lt;0.5g&gt;
1726,其他费,尿HCG                    已做
1727,其他费,拟定于今日20：00在硬膜外麻醉下行阑尾切除术
1728,其他费,术区备皮（术前1小时）
1735,其他费,转普通病房
1738,西药费,肌苷注射液&lt;0.1g/2ml*10&gt;
1754,检查费,普通心电图检查
1756,其他费,血常规                   已做
1759,其他费,去枕平卧8小时后改半卧位
1761,化验费,C反应蛋白测定
1767,西药费,水溶性维生素注射液&lt;7ml&gt;
1772,西药费,地塞米松注射液&lt;2mg/1ml*10&gt;
1773,其他费,测血压 q 2 h
1777,西药费,0.9%氯化钠注射液&lt;250ml（袋）&gt;
1780,其他费,拆线
1782,西药费,注射用糜蛋白酶&lt;4000u/2ml*2&gt;
1875,其他费,测血氧饱和度
1881,西药费,庆大霉素注射液&lt;8万*2ml*10&gt;
1888,其他费,易消化饮食
1890,其他费,按硬膜外麻醉下行阑尾切除术后常规护理
1894,其他费,术前12小时禁食、4小时禁饮
2004,西药费,盐酸氨溴索葡萄糖注射液
2007,西药费,地塞米松磷酸钠注射液
2015,西药费,注射用炎琥宁
2017,西药费,注射用多索茶碱
2018,西药费,多潘立酮片
2163,西药费,注射用奥美拉唑钠&lt;40mg/支&gt;
2172,西药费,注射用谷胱肝肽&lt;0.6g&gt;
2189,西药费,替硝唑注射液&lt;0.4g/100ml&gt;
2246,其他费,测血压            Q8h
2259,西药费,复方氯化钠注射液&lt;500ml(塑）&gt;
2266,其他费,测BP             Q2h
2282,其他费,留置腹腔引流管计量
2294,西药费,山莨菪碱注射液&lt;1ml:10mg*10&gt;
2304,化验费,血脂化验
2306,其他费,拟定于今日20：00在手术室硬膜外麻醉下行阑尾切除术
2308,其他费,术后标本送病检
2327,检查费,阑尾彩超
2331,西药费,注射用氨曲南&lt;0.5g&gt;
2332,其他费,肝肾功 电解质
2340,西药费,10%葡萄糖注射液&lt;250ml&gt;
2341,西药费,氯化钠&lt;100ml&gt;
2342,西药费,乳酸左氧氟沙星&lt;0.2g:100&gt;
2351,其他费,禁食
2352,西药费,氯化钠&lt;250ml&gt;
2356,其他费,胸腹平片 心电图
2357,西药费,非那根&lt;50mg*10&gt;
2359,西药费,氟氯西林钠胶囊&lt;0.25g*12s&gt;
2361,其他费,明日出院
2362,西药费,维生素C注射液&lt;5ml:1g*5支&gt;
2373,西药费,注射用奥美拉唑钠&lt;60mg&gt;
2375,其他费,注射用安曲南
2376,西药费,地塞米松&lt;5mg*10&gt;
2378,其他费,普食
2384,西药费,复方氨基酸&lt;250ml&gt;
2513,西药费,注射用头孢米诺钠&lt;0.5g&gt;
2520,西药费,吗叮啉片&lt;10mg*30&gt;
2525,其他费,伤口大换药
2526,西药费,多酶片&lt;1*100s&gt;
2532,西药费,复方氨基酸注射液&lt;8.5%*250ml&gt;
2569,西药费,5%葡萄糖氯化钠注射液500ml
2906,其他费,胸腹平片 心电图、B超
2912,西药费,注射用头孢米诺钠&lt;1g&gt;
2913,其他费,注射用头孢米诺
2925,其他费,肝肾功 电解质 乳胶试验
2926,西药费,替硝唑&lt;100ml&gt;
2927,西药费,654-2注射液&lt;10mg*10&gt;
3228,其他费,术前备皮
3308,其他费,测血压、脉搏、呼吸(4小时/次)
3309,其他费,术前12小时禁食
3315,其他费,拟定于今日11时00分急诊在全麻下行LC+LA术
3316,西药费,糖盐&lt;500ml&gt;
3332,其他费,术前留置导尿
3334,其他费,标本已送检
3349,其他费,按全麻下LC+LA术后常规护理
3362,其他费,氧气吸入
3537,其他费,换药（敷贴3）
3541,其他费,低脂饮食
3549,化验费,ABO血型鉴定
3550,检查费,十二及以上通道心电图检查
3551,化验费,输血前九项
3552,西药费,兰索拉唑肠溶胶囊&lt;30mg*10s&gt;
3560,化验费,电解质
3563,化验费,肾功五项
3565,西药费,亚硫酸氢钠甲萘醌注射液
3572,化验费,凝血常规
3573,化验费,Rh血型鉴定
3574,化验费,肝功十四项
3575,化验费,血脂八项
3577,西药费,吗丁啉口服液&lt;100ml&gt;
3579,检查费,数字化摄影（DR）
3580,化验费,尿常规
3581,检查费,彩色多普勒超声常规检查
3774,其他费,血尿常规及淀粉酶
3775,其他费,肾功电解质、凝血系列、输血前四项
3783,西药费,盐酸布桂嗪注射液&lt;100mg/2ml*10&gt;
3788,西药费,10%氯化钾注射液&lt;10ml*5&gt;
3819,其他费,测血压  一日二次
3913,其他费,血尿常规肝肾功电解质输血前四项凝血系列
3914,西药费,注射用头孢西丁钠&lt;1g&gt;
3915,其他费,.9%氯化钠250ml
3927,其他费,右下腹磁热疗法
3928,其他费,阑尾彩超
3940,其他费,明日查肝功
3941,西药费,氯化钾注射液&lt;10ml*5支&gt;
3959,其他费,头孢西丁
3961,其他费,腹部立位片+胸片
3962,其他费,子宫附件彩超
3963,西药费,替硝唑氯化钠注射液&lt;100ml:0.4g&gt;
3964,其他费,心电图胸片
3979,西药费,头孢地尼分散片&lt;0.1g*6t&gt;
3980,其他费,换药拆线
4059,其他费,按硬外麻醉下阑尾切除术后常规护理
4064,其他费,拟于下午4时急诊在硬外麻醉下行阑尾切除手术
4082,其他费,测血压    q 2h
4086,其他费,血氧饱和度监测
4156,其他费,血常规     已做
4177,其他费,腹腔引流计量
4205,西药费,硝苯地平缓释片
4214,西药费,盐酸甲氧氯普胺注射液
4278,西药费,西米替丁注射液&lt;0.2g/2ml*10&gt;
4283,其他费,切除组织送病检
4393,化验费,尿常规检查
4401,西药费,复方氨酚烷胺片
4423,西药费,5%葡萄糖氯化钠注射液&lt;5%250ml(塑）&gt;
4433,西药费,10%氯化钾注射液&lt;10ml:1g*5支&gt;
4467,其他费,腹部B超        已做
4471,其他费,通便灌肠
4475,其他费,腹部立位平片   已拍
4477,西药费,新速效感冒片&lt;1mg*12&gt;
4575,其他费,磁热疗法（右下腹）  2次/日
4576,西药费,氟哌利多注射液
4615,西药费,盐酸利多卡因注射液
4627,其他费,胸部CT
4686,西药费,清开灵注射液&lt;10ml*6支&gt;
4690,其他费,血常规、支原体抗体
4691,其他费,血常规、出血热抗体
4699,西药费,奥美拉唑胶囊&lt;20mg*14s&gt;
4711,其他费,腹部彩超：肝、胆、胰、脾、肾及回盲部
4735,西药费,果胶铋胶囊&lt;100mg*48s&gt;
4740,西药费,复方氨林巴比妥注射液&lt;2ml*10支&gt;
4901,西药费,小儿脂溶性维生素
4904,检查费,彩色多普勒超声多部位检查
4906,西药费,酪酸梭菌二联活菌散
4912,西药费,山莨菪碱注射液
5007,西药费,盐酸丁卡因胶浆
5038,检查费,电子胃十二指肠镜检查
5096,西药费,复方氨林巴比妥注射液
5182,其他费,明日查回盲部彩超
5276,西药费,注射用脂溶性维生素II 复方
5277,其他费,i.v.drip
5278,西药费,0.9%氯化钠注射液 100ml
5280,西药费,地塞米松磷酸钠注射液 3mg i.v.drip
5289,其他费,肝肾功电解质
5290,西药费,注射用头孢西丁钠 1g
5299,其他费,血尿常规
5306,其他费,先锋霉素皮试 (-)
5316,其他费,外科护理常规
5318,其他费,i.v.drip b.i.d
5353,西药费,黄芪注射液&lt;10ML*5支&gt;
5359,西药费,糖盐&lt;250ml&gt;
5360,西药费,注射用哌酮舒巴坦钠&lt;4g&gt;
5405,其他费,切口换药
5413,其他费,二级护理
5414,西药费,维生素C注射液  2g
5415,其他费,i.v.drip q.d.
5424,西药费,10%葡萄糖注射液 500ml
5459,其他费,拟明日出院
5513,西药费,注射用头孢他啶&lt;1g&gt;
5636,其他费,腹片
5665,其他费,切口拆线
5709,西药费,注射用头孢曲松钠
5711,西药费,5%葡萄糖注射液（250ml）
5712,检查费,B超检查费
5726,其他费,今日出院
6028,检查费,ABO血型鉴定
6058,西药费,地特胰岛素(笔芯)
6059,西药费,门冬胰岛素注射液(笔芯)
6128,西药费,复方氨基酸注射液(18AA)
6161,西药费,甲硝唑注射液(玻瓶)
6193,西药费,硫酸阿托品注射液
6195,西药费,0.9%氯化钠注射液(250ml)
6205,西药费,盐酸哌替啶注射液
6212,化验费,性激素六项
6226,西药费,甲硫酸新斯的明注射液
6403,西药费,维生素B6注射液&lt;0.1*10&gt;
6405,其他费,输血四项
6407,西药费,丁胺卡那霉素&lt;0.2g/2ml*10&gt;
6411,其他费,肝肾功、电解质
6420,其他费,胸部正位片
6424,其他费,血尿常规、血型、凝血四项
6427,其他费,彩超腹部、胆总管、泌尿系、右下腹
6428,其他费,头孢美唑钠皮试
6430,西药费,止血芳酸&lt;0.1g*5&gt;
6435,其他费,按腹腔镜阑尾切除术后常规护理
6436,西药费,18A氨基酸&lt;200ml:20650g&gt;
6447,其他费,测血压、脉搏、呼吸(2小时/次)
6461,其他费,血常规               已做
6472,其他费,拟定于今日17：00在手术室硬膜外麻醉下行阑尾切除术
6477,其他费,测BP              Q2h
6488,其他费,腹部B超              已做
6500,其他费,去枕平卧8小时后改伴卧位
6512,检查费,妇科彩超
6546,其他费,测BP              Q8h
6925,化验费,肾功六项
6926,西药费,注射用门冬氨酸钾镁
6937,其他费,血、尿常规
6991,西药费,酒石酸美托洛尔片
7033,其他费,外科常规护理
7072,西药费,替硝唑葡萄糖注射液
7090,西药费,奥美拉唑钠肠溶片
7106,化验费,ABO红细胞定型+Rh血型鉴定
7107,化验费,血脂七项
7130,西药费,氯化钾注射液&lt;10ml:1g*5支&gt;
7141,化验费,粪常规+隐血
7164,其他费,肾功、电解质、血糖
